partner,group,y2013,y2016,growth
Netherlands,машини і обладнання,64644829.14644656,75622244,0.16981118209292778
Netherlands,продукти АПК,488615107.9163972,703245335,0.43926236337400826
Netherlands,руди і метали,141571527.1410685,161898395,0.1435801977234934
Netherlands,споживчі товари,17336937.31893855,16347985,-0.05704308095168786
Netherlands,хімія і добрива,29669663.95323452,15051602,-0.49269388343176335
Poland,ліс і деревина,155726752.31924537,327504749,1.103073133693841
Poland,машини і обладнання,337978849.52747035,331209526,-0.02002883771258046
Poland,продукти АПК,363731493.43426573,441371985,0.2134555103619742
Poland,руди і метали,712226139.5260789,750465708,0.05369020645516609
Poland,споживчі товари,115897124.04854171,202268756,0.7452439623547766
Poland,хімія і добрива,148849928.27207634,121436458,-0.18416851516359778
Portugal,ліс і деревина,244005.67164551103,1358805,4.5687435084462225
Portugal,машини і обладнання,15184495.187253121,30208495,0.9894303121356993
Portugal,продукти АПК,151537238.09618598,158130130,0.04350674452459846
Portugal,руди і метали,13031862.575483989,35669128,1.7370706062464203
Portugal,споживчі товари,3060816.085542255,2683048,-0.12342070708744646
Portugal,хімія і добрива,2280761.051399782,191854,-0.9158815870333051
Romania,ліс і деревина,70558778.4623527,143620811,1.0354775710385953
Romania,машини і обладнання,67440531.28695191,95640730,0.41814911856283277
Romania,продукти АПК,21409889.29570868,79738454,2.724374885767508
Romania,руди і метали,148340581.65273163,230968656,0.5570159792193778
Romania,споживчі товари,76880161.72326306,122720703,0.596259688445298
Romania,хімія і добрива,30876013.927685056,44533188,0.4423230959897062
Slovakia,ліс і деревина,24903678.61646408,35319469,0.418243045292511
Slovakia,машини і обладнання,86640266.58581746,101718241,0.1740296401240613
Slovakia,продукти АПК,6571668.895720361,10848108,0.6507386741691392
Slovakia,руди і метали,255700574.80442786,237742403,-0.07023125316852785
Slovakia,споживчі товари,22724684.26123566,22852824,0.005638790721634868
Slovakia,хімія і добрива,100598038.66772173,63071058,-0.3730388898701539
Spain,ліс і деревина,7110972.575209189,20409946,1.8702045724595675
Spain,машини і обладнання,19099975.676519472,27831489,0.45714787659204204
Spain,продукти АПК,512225019.1265813,827498434,0.615497882963636
Spain,руди і метали,79480003.710526,110250018,0.38714158093828743
Spain,споживчі товари,7180121.34292447,2643504,-0.6318301775491585
Spain,хімія і добрива,55277291.93983141,17377326,-0.685633550592258
Sweden,ліс і деревина,12023004.401826058,31240434,1.5983883026155419
Sweden,машини і обладнання,7926268.133595894,7233376,-0.08741719582498542
Sweden,продукти АПК,1514867.0508002879,1784816,0.17819976284856232
Sweden,руди і метали,16039000.226580394,19523555,0.217255110929226
Sweden,споживчі товари,7792221.932844988,7613050,-0.02299368965477744
Sweden,хімія і добрива,5217305.095075321,3877345,-0.25682992860435294
United_Kingdom,ліс і деревина,12284413.969782894,26023686,1.1184312140581438
United_Kingdom,машини і обладнання,48465182.80620646,30185043,-0.37718086980712884
United_Kingdom,продукти АПК,127178335.33664592,112399196,-0.11620799484066979
United_Kingdom,руди і метали,147107785.0500841,121363382,-0.1750036753073212
United_Kingdom,споживчі товари,11155018.109018315,13152814,0.179093917325563
United_Kingdom,хімія і добрива,44245159.155186296,10806791,-0.7557520143142427
EU28,ліс і деревина,651596760.5722635,1151212600,0.7667561744612572
EU28,машини і обладнання,2062089176.6061609,2139121420,0.03735640740844226
EU28,продукти АПК,3135369818.5627737,4125157744,0.3156845867359075
EU28,руди і метали,4305512005.716082,4269420197,-0.008382698426613433
EU28,споживчі товари,858023006.3627311,1036276639,0.20774924601720035
EU28,хімія і добрива,1140565466.288768,747051514,-0.3450165412856173
